Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D00,DIODE,D_SOD-123,16.668764,-26.193772,90.000000,bottom
D01,DIODE,D_SOD-123,54.768796,-26.243772,90.000000,bottom
D02,DIODE,D_SOD-123,92.868796,-26.243772,90.000000,bottom
D03,DIODE,D_SOD-123,130.968912,-26.243772,90.000000,bottom
D04,DIODE,D_SOD-123,169.068892,-26.285228,90.000000,bottom
D05,DIODE,D_SOD-123,207.168796,-26.145309,90.000000,bottom
D06,DIODE,D_SOD-123,245.268956,-26.193772,90.000000,bottom
D07,DIODE,D_SOD-123,283.368796,-26.190598,90.000000,bottom
D10,DIODE,D_SOD-123,35.718780,-26.193772,90.000000,bottom
D11,DIODE,D_SOD-123,73.818796,-26.243772,90.000000,bottom
D12,DIODE,D_SOD-123,111.918796,-26.243772,90.000000,bottom
D13,DIODE,D_SOD-123,150.018876,-26.141452,90.000000,bottom
D14,DIODE,D_SOD-123,188.118796,-26.145309,90.000000,bottom
D15,DIODE,D_SOD-123,226.218796,-26.190598,90.000000,bottom
D16,DIODE,D_SOD-123,264.318972,-26.148459,90.000000,bottom
D17,DIODE,D_SOD-123,302.419056,-26.190598,90.000000,bottom
D20,DIODE,D_SOD-123,21.431268,-45.243788,90.000000,bottom
D21,DIODE,D_SOD-123,64.293788,-45.243788,90.000000,bottom
D22,DIODE,D_SOD-123,102.393788,-45.243788,90.000000,bottom
D23,DIODE,D_SOD-123,140.493788,-45.243788,90.000000,bottom
D24,DIODE,D_SOD-123,178.593788,-45.243788,90.000000,bottom
D25,DIODE,D_SOD-123,216.693788,-45.243788,90.000000,bottom
D26,DIODE,D_SOD-123,254.793788,-45.243788,90.000000,bottom
D27,DIODE,D_SOD-123,302.418788,-45.243788,90.000000,bottom
D30,DIODE,D_SOD-123,45.243788,-45.243788,90.000000,bottom
D31,DIODE,D_SOD-123,83.343788,-45.243788,90.000000,bottom
D32,DIODE,D_SOD-123,121.443788,-45.243788,90.000000,bottom
D33,DIODE,D_SOD-123,159.543788,-45.243788,90.000000,bottom
D34,DIODE,D_SOD-123,197.643788,-45.243788,90.000000,bottom
D35,DIODE,D_SOD-123,235.743788,-45.243788,90.000000,bottom
D36,DIODE,D_SOD-123,278.606288,-45.243788,90.000000,bottom
D40,DIODE,D_SOD-123,50.006292,-64.293804,90.000000,bottom
D41,DIODE,D_SOD-123,88.106324,-64.293804,90.000000,bottom
D42,DIODE,D_SOD-123,126.206356,-64.293804,90.000000,bottom
D43,DIODE,D_SOD-123,164.306388,-64.293804,90.000000,bottom
D44,DIODE,D_SOD-123,202.406420,-64.293804,90.000000,bottom
D45,DIODE,D_SOD-123,240.506452,-64.293804,90.000000,bottom
D47,DIODE,D_SOD-123,302.419004,-64.293804,90.000000,bottom
D50,DIODE,D_SOD-123,23.812520,-64.293804,90.000000,bottom
D51,DIODE,D_SOD-123,69.056308,-64.293804,90.000000,bottom
D52,DIODE,D_SOD-123,107.156340,-64.293804,90.000000,bottom
D53,DIODE,D_SOD-123,145.256372,-64.293804,90.000000,bottom
D54,DIODE,D_SOD-123,183.356404,-64.293804,90.000000,bottom
D55,DIODE,D_SOD-123,221.456436,-64.293804,90.000000,bottom
D56,DIODE,D_SOD-123,271.462728,-64.293804,90.000000,bottom
D57,DIODE,D_SOD-123,302.419004,-83.343820,90.000000,bottom
D60,DIODE,D_SOD-123,28.575024,-83.343820,90.000000,bottom
D61,DIODE,D_SOD-123,78.581316,-83.343820,90.000000,bottom
D62,DIODE,D_SOD-123,116.681348,-83.343820,90.000000,bottom
D63,DIODE,D_SOD-123,154.781380,-83.343820,90.000000,bottom
D64,DIODE,D_SOD-123,192.881412,-83.343820,90.000000,bottom
D65,DIODE,D_SOD-123,230.981444,-83.343820,90.000000,bottom
D66,DIODE,D_SOD-123,257.175216,-83.343820,90.000000,bottom
D67,DIODE,D_SOD-123,283.368988,-83.343820,90.000000,bottom
D70,DIODE,D_SOD-123,59.531300,-83.343820,90.000000,bottom
D71,DIODE,D_SOD-123,97.631332,-83.343820,90.000000,bottom
D72,DIODE,D_SOD-123,135.731364,-83.343820,90.000000,bottom
D73,DIODE,D_SOD-123,173.831396,-83.343820,90.000000,bottom
D74,DIODE,D_SOD-123,211.931428,-83.343820,90.000000,bottom
D76,DIODE,D_SOD-123,264.318972,-102.393836,90.000000,bottom
D77,DIODE,D_SOD-123,302.419004,-102.393836,90.000000,bottom
D80,DIODE,D_SOD-123,36.314135,-100.012584,270.000000,bottom
D81,DIODE,D_SOD-123,60.126655,-100.012584,270.000000,bottom
D82,DIODE,D_SOD-123,83.939133,-100.012584,270.000000,bottom
D83,DIODE,D_SOD-123,138.112616,-102.393836,90.000000,bottom
D84,DIODE,D_SOD-123,207.168924,-102.393836,90.000000,bottom
D85,DIODE,D_SOD-123,226.218940,-102.393836,90.000000,bottom
D86,DIODE,D_SOD-123,245.268956,-102.393836,90.000000,bottom
D87,DIODE,D_SOD-123,283.368988,-102.393836,90.000000,bottom
